"filename", "language", "Shell Script", "YAML", "JSON", "JSON with Comments", "Ignore", "Markdown", "TypeScript", "JavaScript", "Docker", "XML", "PostCSS", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\chris\Desktop\RO-Nation.live\public\placeholders\event-03.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 1, 21
"c:\Users\chris\Desktop\RO-Nation.live\public\placeholders\event-04.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 1, 21
"c:\Users\chris\Desktop\RO-Nation.live\public\placeholders\event-05.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 1, 21
"c:\Users\chris\Desktop\RO-Nation.live\scripts\check-plate.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 124, 0, 0, 0, 0, 0, 50, 26, 200
"c:\Users\chris\Desktop\RO-Nation.live\scripts\cull.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 116, 0, 0, 0, 0, 0, 100, 23, 239
"c:\Users\chris\Desktop\RO-Nation.live\scripts\deck-backdrop.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 45, 17, 128
"c:\Users\chris\Desktop\RO-Nation.live\scripts\grant-partner-owner.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 0, 55, 17, 153
"c:\Users\chris\Desktop\RO-Nation.live\scripts\post.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 46, 18, 138
"c:\Users\chris\Desktop\RO-Nation.live\scripts\posts\arena-shows-and-festivals.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 18, 5, 146
"c:\Users\chris\Desktop\RO-Nation.live\scripts\posts\deck-the-dj-rig.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 107, 0, 0, 0, 0, 0, 10, 5, 122
"c:\Users\chris\Desktop\RO-Nation.live\scripts\posts\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 19, 2, 28
"c:\Users\chris\Desktop\RO-Nation.live\scripts\privatise-textures.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 42, 21, 147
"c:\Users\chris\Desktop\RO-Nation.live\scripts\purge-demo-content.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 143, 0, 0, 0, 0, 0, 78, 29, 250
"c:\Users\chris\Desktop\RO-Nation.live\scripts\remind.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 15, 3, 36
"c:\Users\chris\Desktop\RO-Nation.live\src\app\about\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 388, 44, 24, 456
"c:\Users\chris\Desktop\RO-Nation.live\src\app\account\link\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 4, 6, 67
